window_start,window_end,behavior_cohort_dimension,behavior_cohort_band,trust_classification,agent_delegation_classification,skill_read_presence_classification,cohort_size,signal_count,attributed_signal_count,attributed_signal_share,agent_delegation_user_count,skill_read_user_count,suppression_status,suppression_reason,readiness_decision
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_REPEATED,SKILL_READ_ABSENT,2486,10179,0,0.0,2486,0,SURFACE_ELIGIBLE_RESEARCH_ONLY,,CONTINUE_RESEARCH
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_REPEATED,SKILL_READ_PRESENT,1880,8192,0,0.0,1880,1880,SURFACE_ELIGIBLE_RESEARCH_ONLY,,CONTINUE_RESEARCH
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,93534,401474,0,0.0,0,0,SURFACE_ELIGIBLE_RESEARCH_ONLY,,HOLD_FOR_EVIDENCE_GAPS
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,53327,325502,0,0.0,0,53327,SURFACE_ELIGIBLE_RESEARCH_ONLY,,CONTINUE_RESEARCH
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,13359,58110,0,0.0,13359,0,SURFACE_ELIGIBLE_RESEARCH_ONLY,,HOLD_FOR_EVIDENCE_GAPS
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_PRESENT,SKILL_READ_PRESENT,10550,62889,0,0.0,10550,10550,SURFACE_ELIGIBLE_RESEARCH_ONLY,,CONTINUE_RESEARCH
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_REPEATED,SKILL_READ_ABSENT,42379,170028,0,0.0,42379,0,SURFACE_ELIGIBLE_RESEARCH_ONLY,,CONTINUE_RESEARCH
2026-03-23,2026-05-22,depth_repertoire_band,INTEGRATED_REPERTOIRE,TRUST_SIGNAL_WITH_ALIASING,AGENT_DELEGATION_REPEATED,SKILL_READ_PRESENT,31003,207555,0,0.0,31003,31003,SURFACE_ELIGIBLE_RESEARCH_ONLY,,CONTINUE_RESEARCH
2026-03-23,2026-05-22,depth_repertoire_band,UNSTABLE_OR_INSUFFICIENT,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,70078,0,0,,0,0,SURFACE_ELIGIBLE_RESEARCH_ONLY,,HOLD_FOR_EVIDENCE_GAPS
2026-03-23,2026-05-22,depth_repertoire_band,UNSTABLE_OR_INSUFFICIENT,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_ABSENT,SKILL_READ_PRESENT,188,0,0,,0,188,SURFACE_ELIGIBLE_RESEARCH_ONLY,,CONTINUE_RESEARCH
2026-03-23,2026-05-22,depth_repertoire_band,UNSTABLE_OR_INSUFFICIENT,INSUFFICIENT_TRUST_EVIDENCE,AGENT_DELEGATION_PRESENT,SKILL_READ_ABSENT,8,0,0,,8,0,SURFACE_ELIGIBLE_RESEARCH_ONLY,,HOLD_FOR_EVIDENCE_GAPS
2026-03-23,2026-05-22,depth_repertoire_band,UNSTABLE_OR_INSUFFICIENT,TRUST_SIGNAL_AVAILABLE_BUT_HELD,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,,,,,,,SUPPRESS,INSUFFICIENT_VOLUME,HOLD_SMALL_CELL_SUPPRESSED
2026-03-23,2026-05-22,skill_read_presence_band,SKILL_READ_ABSENT,ATTRIBUTABLE_TRUST_SIGNAL,AGENT_DELEGATION_ABSENT,SKILL_READ_ABSENT,15860,58830,35124,0.5970423253442121,0,0,SURFACE_ELIGIBLE_RESEARCH_ONLY,,HOLD_FOR_EVIDENCE_GAPS
